ID,Host Type,Name with Owner,Description,Fork,Created Timestamp,Updated Timestamp,Last pushed Timestamp,Homepage URL,Size,Stars Count,Language,Issues enabled,Wiki enabled,Pages enabled,Forks Count,Mirror URL,Open Issues Count,Default branch,Watchers Count,UUID,Fork Source Name with Owner,License,Contributors Count,Readme filename,Changelog filename,Contributing guidelines filename,License filename,Code of Conduct filename,Security Threat Model filename,Security Audit filename,Status,Last Synced Timestamp,SourceRank,Display Name,SCM type,Pull requests enabled,Logo URL,Keywords
3109714,GitHub,tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,FALSE,2015-11-07 01:19:20 UTC,2020-01-12 09:44:27 UTC,2020-01-12 10:23:32 UTC,https://tensorflow.org,471757,139939,C++,TRUE,FALSE,FALSE,79449,,3248,master,8523,45717250,,Apache-2.0,783,README.md,,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2019-12-10 10:22:11 UTC,15,GitHub,,git,,
815940,GitHub,keras-team/keras,Deep Learning for humans,FALSE,2015-03-28 00:35:42 UTC,2019-12-17 06:40:51 UTC,2019-12-14 14:16:52 UTC,http://keras.io/,13334,45995,Python,TRUE,TRUE,FALSE,17437,,2742,master,2080,33015583,,Other,718,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-09-17 17:47:09 UTC,18,GitHub,,git,,
845050,GitHub,josephmisiti/awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",FALSE,2014-07-15 19:11:19 UTC,2019-12-26 17:04:47 UTC,2019-12-22 21:48:19 UTC,,1952,43027,Python,TRUE,FALSE,TRUE,10876,,4,master,3314,21872392,,Other,236,README.md,,,,,,,,2017-05-13 05:02:40 UTC,9,GitHub,,git,,
851991,GitHub,opencv/opencv,Open Source Computer Vision Library,FALSE,2012-07-19 09:40:17 UTC,2019-12-31 11:17:19 UTC,2019-12-31 10:17:46 UTC,https://opencv.org,477763,41126,C++,TRUE,TRUE,FALSE,31410,,1772,master,2576,5108051,,Other,465,,,,,,,,,2017-11-24 18:52:17 UTC,11,GitHub,,git,,
845049,GitHub,scikit-learn/scikit-learn,scikit-learn: machine learning in Python,FALSE,2010-08-17 09:43:38 UTC,2020-01-02 17:27:28 UTC,2020-01-02 17:03:02 UTC,https://scikit-learn.org,114615,38756,Python,TRUE,TRUE,FALSE,18965,,2047,master,2259,843222,,Other,764,README.rst,,CONTRIBUTING.md,COPYING,,,,,2019-12-03 10:13:45 UTC,20,GitHub,,git,,
18883757,GitHub,pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,FALSE,2016-08-13 05:26:41 UTC,2019-12-30 17:34:23 UTC,2019-12-30 17:07:10 UTC,https://pytorch.org,258137,35004,C++,TRUE,TRUE,FALSE,8758,,4755,master,1394,65600975,,Other,347,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-11-05 21:50:02 UTC,12,GitHub,,git,,
851994,GitHub,BVLC/caffe,Caffe: a fast open framework for deep learning.,FALSE,2013-09-12 18:39:48 UTC,2019-12-20 16:28:13 UTC,2019-12-12 09:30:11 UTC,http://caffe.berkeleyvision.org/,76158,29655,C++,TRUE,TRUE,TRUE,17906,,1085,master,2230,12791642,,Other,132,,,,,,,,,2017-11-24 18:50:38 UTC,10,GitHub,,git,,
36665917,GitHub,imhuay/Algorithm_Interview_Notes-Chinese,2018/2019/校招/春招/秋招/算法/机器学习(Machine Learning)/深度学习(Deep Learning)/自然语言处理(NLP)/C/C++/Python/面试笔记,FALSE,2018-06-06 12:53:14 UTC,2019-10-28 01:40:57 UTC,2019-07-23 14:45:28 UTC,,233283,27541,Python,TRUE,TRUE,FALSE,8542,,27,master,1504,136328388,,,8,README.md,,,,,,,,2019-04-26 19:43:09 UTC,7,GitHub,,git,,
16759661,GitHub,exacity/deeplearningbook-chinese,Deep Learning Book Chinese Translation,FALSE,2016-12-07 11:46:51 UTC,2019-12-30 14:01:34 UTC,2019-12-03 04:25:44 UTC,https://exacity.github.io/deeplearningbook-chinese,8908,27499,TeX,TRUE,TRUE,TRUE,8038,,45,master,2218,75830968,,,4,README.md,,,,,,,,2016-12-14 12:47:05 UTC,8,GitHub,,git,,
36682071,GitHub,Avik-Jain/100-Days-Of-ML-Code,100 Days of ML Coding,FALSE,2018-07-05 09:11:43 UTC,2019-12-25 18:32:08 UTC,2019-10-20 09:33:50 UTC,,10970,27439,Python,TRUE,TRUE,TRUE,6804,,51,master,2290,139824423,,MIT,7,README.md,,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2018-09-28 10:52:24 UTC,8,GitHub,,git,,
