Rows,TensorFlow (NE-CD),TensorFlow (COD),PyTorch (QRCP),PyTorch (QR),PyTorch (SVD),PyTorch (SVDDC),scikit-learn (SVDDC)
$10^{1}$,0.006,0.007,0.005,0.005,0.005,0.011,0.01
$10^{1.5}$,0.01,0.011,0.008,0.007,0.007,0.012,0.015
$10^{2}$,0.024,0.027,0.014,0.013,0.045,0.018,0.025
$10^{2.5}$,0.069,0.075,0.031,0.03,0.062,0.035,0.066
$10^{3}$,0.148,0.228,0.086,0.085,0.117,0.09,0.186
$10^{3.5}$,0.312,0.713,0.259,0.258,0.29,0.263,0.567
$10^{4}$,0.854,2.244,0.806,0.805,0.837,0.81,1.77
$10^{4.5}$,2.535,7.088,2.536,2.534,2.567,2.54,5.575
$10^{5}$,8.005,22.404,8.006,8.005,8.037,8.01,17.61
$10^{5.5}$,25.303,70.839,25.304,25.303,25.335,25.308,55.666
$10^{6}$,80.005,224.004,80.006,80.005,80.037,80.01,176.01
$10^{6.5}$,252.987,708.354,252.988,252.987,253.019,252.992,556.571
$10^{7}$,800.005,2240.004,800.006,800.005,800.037,800.01,1760.01
$10^{7.5}$,2529.827,7083.506,2529.828,2529.827,2529.859,2529.832,5565.619
$10^{8}$,8000.005,22400.004,8000.006,8000.005,8000.037,8000.01,17600.01
