,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,762.33,41390.518,115.174,766.313,22460.943,1891.423,28880.955
15,150.518,150.854,31.171,232.244,902.671,264.002,275.576
25,80.389,183.599,21.986,158.241,516.523,178.021,193.334
39,47.728,100.053,17.462,101.628,290.061,95.731,138.272
63,27.643,33.853,12.396,58.113,248.072,58.339,88.144
100,16.671,18.45,8.489,38.146,116.371,36.264,57.689
158,11.565,11.432,5.808,23.519,72.475,24.311,36.445
251,10.199,15.323,4.411,16.711,52.767,15.552,24.989
398,4.212,4.916,2.52,9.401,30.197,10.546,16.581
630,2.807,2.984,1.704,6.282,19.482,8.663,10.85
1000,1.79,2.2,1.127,4.066,12.884,6.12,7.201
1584,1.204,1.348,0.737,2.896,8.603,4.683,4.646
2511,0.822,0.938,0.54,1.841,6.063,3.932,3.096
3981,0.567,0.721,0.353,1.29,4.441,3.713,2.165
6309,0.458,0.543,0.287,0.942,3.621,3.832,1.531
10000,0.385,0.59,0.234,0.818,4.708,3.228,1.195
15848,0.323,0.448,0.207,0.682,2.465,3.085,0.977
25118,0.296,0.398,0.182,0.622,2.134,3.234,1.024
39810,0.336,0.416,0.171,0.58,2.193,3.239,0.93
63095,0.323,0.369,0.163,0.545,1.75,2.945,0.906
100000,0.311,0.392,0.157,0.536,1.75,2.719,1.011
158489,0.289,0.33,0.142,0.464,1.763,2.809,0.951
251188,0.277,0.361,0.155,0.498,1.91,3.012,0.915
398107,0.262,0.354,0.152,0.522,2.163,4.328,0.934
630957,0.287,0.398,0.165,0.552,2.77,5.079,0.927
1000000,0.386,0.452,0.216,0.731,2.74,4.695,0.872
1584893,0.456,0.546,0.258,0.9,2.523,4.699,0.865
2511886,0.472,0.466,0.25,0.921,2.639,4.808,0.816
3981071,0.482,0.506,0.23,0.949,2.676,4.814,0.872
6309573,0.502,0.503,0.237,0.964,2.713,4.722,0.88
10000000,0.508,0.527,0.24,0.991,2.777,4.654,0.863
15848931,0.508,0.512,0.246,0.996,2.792,4.773,0.858
25118864,0.509,0.511,0.241,0.994,2.791,4.71,0.867
39810717,0.509,0.516,0.241,0.992,2.793,4.778,0.866
63095734,0.509,0.509,0.24,0.988,2.837,4.777,0.805
100000000,0.509,0.522,0.241,0.991,2.849,4.816,0.82
158489319,0.511,0.527,0.242,0.987,2.967,4.95,0.864
251188643,0.488,0.521,0.246,0.991,3.975,5.059,0.98
398107170,0.506,0.559,0.256,1.056,4.698,7.052,1.045
630957344,0.557,0.595,0.288,1.245,5.769,10.176,1.147
