Rows,PyTorch (QR),PyTorch (QRCP),PyTorch (SVD),PyTorch (SVDDC),scikit-learn (SVDDC),TensorFlow (COD),TensorFlow (NE-CD)
$10^{1}$,\textbf{321.364},\textbf{4945.26},\textbf{40.112},\textbf{456.806},\textbf{3791.739},\textbf{598.673},\textbf{3421.482}
$10^{1.5}$,\textbf{63.861},\textbf{70.312},\textbf{19.107},\textbf{129.629},\textbf{371.591},\textbf{113.093},\textbf{184.44}
$10^{2}$,\textbf{18.472},\textbf{22.216},\textbf{8.54},\textbf{38.288},\textbf{120.361},\textbf{36.588},\textbf{64.942}
$10^{2.5}$,\textbf{5.883},\textbf{6.653},\textbf{3.082},\textbf{12.997},\textbf{38.111},\textbf{13.036},\textbf{22.37}
$10^{3}$,\textbf{2.015},\textbf{1.923},\textbf{1.149},\textbf{4.611},\textbf{12.999},\textbf{6.119},\textbf{7.707}
$10^{3.5}$,0.759,0.799,0.418,\textbf{8.901},\textbf{5.099},\textbf{3.473},\textbf{2.718}
$10^{4}$,0.402,0.414,0.215,0.88,\textbf{2.705},\textbf{3.209},\textbf{1.195}
$10^{4.5}$,0.344,0.296,0.167,0.67,\textbf{2.03},\textbf{2.846},0.845
$10^{5}$,0.303,0.263,0.143,0.578,\textbf{1.72},\textbf{2.707},\textbf{1.027}
$10^{5.5}$,0.294,0.314,0.149,0.589,\textbf{1.628},\textbf{3.008},0.879
$10^{6}$,0.398,0.441,0.23,0.842,\textbf{2.46},\textbf{4.685},0.979
$10^{6.5}$,0.452,0.497,0.226,0.904,\textbf{2.646},\textbf{4.779},0.85
$10^{7}$,0.49,0.526,0.243,0.977,\textbf{2.809},\textbf{4.659},0.803
$10^{7.5}$,0.487,0.524,0.242,0.973,\textbf{2.797},\textbf{4.707},0.794
$10^{8}$,0.489,0.519,0.243,0.977,\textbf{2.799},\textbf{4.774},0.796
$10^{8.5}$,0.486,0.516,0.242,0.973,\textbf{3.209},\textbf{6.499},0.881
