Rows,PyTorch (QR),PyTorch (QRCP),PyTorch (SVD),PyTorch (SVDDC),scikit-learn (SVDDC),TensorFlow (COD),TensorFlow (NE-CD)
$10^{1}$,\textbf{274.621},\textbf{2608.284},\textbf{40.926},\textbf{836.778},\textbf{2520.289},\textbf{958.242},\textbf{1763.713}
$10^{1.5}$,\textbf{53.549},\textbf{57.321},\textbf{16.313},\textbf{111.154},\textbf{263.636},\textbf{99.202},\textbf{121.85}
$10^{2}$,\textbf{16.044},\textbf{18.142},\textbf{6.975},\textbf{35.279},\textbf{94.538},\textbf{29.567},\textbf{44.961}
$10^{2.5}$,\textbf{4.85},\textbf{5.359},\textbf{2.559},\textbf{11.441},\textbf{26.504},\textbf{9.926},\textbf{15.395}
$10^{3}$,\textbf{1.63},\textbf{1.633},0.888,\textbf{3.78},\textbf{8.87},\textbf{3.86},\textbf{5.238}
$10^{3.5}$,0.59,0.623,0.327,\textbf{1.369},\textbf{3.342},\textbf{2.266},\textbf{1.867}
$10^{4}$,0.289,0.313,0.148,0.608,\textbf{1.7},\textbf{1.592},0.833
$10^{4.5}$,0.193,0.219,0.096,0.397,\textbf{1.042},\textbf{1.368},0.499
$10^{5}$,0.154,0.167,0.074,0.308,0.982,\textbf{1.358},0.583
$10^{5.5}$,0.163,0.183,0.081,0.321,\textbf{1.403},\textbf{2.69},0.505
$10^{6}$,0.262,0.279,0.131,0.525,\textbf{1.726},\textbf{3.036},0.649
$10^{6.5}$,0.289,0.315,0.145,0.579,\textbf{1.838},\textbf{3.216},0.649
$10^{7}$,0.326,0.363,0.161,0.645,\textbf{1.867},\textbf{3.466},0.661
$10^{7.5}$,0.367,0.399,0.177,0.712,\textbf{1.907},\textbf{3.67},0.664
$10^{8}$,0.368,0.391,0.195,0.783,\textbf{2.004},\textbf{3.778},0.664
$10^{8.5}$,0.39,0.418,0.195,0.787,\textbf{1.954},\textbf{4.333},0.665
$10^{9}$,0.396,0.436,0.2,0.798,\textbf{2.179},\textbf{5.982},0.766
