,pytorch-qr,pytorch-qrcp,pytorch-svd,pytorch-svddc,sklearn-svddc,tf-cod,tf-necd
10,1654000,213627000,1664000,1618000,5296000,1984000,89327000
31,1040000,293000,1227000,1565000,3726000,679000,2868000
100,672000,939000,1359000,1353000,3846000,447000,2794000
316,1437000,1423000,1342000,1346000,995000,432000,757000
1000,1320000,1213000,2921000,1398000,1869000,1046000,684000
3162,1630000,1462000,2914000,2136000,2010000,1348000,1350000
10000,3398000,2994000,3838000,2412000,11741000,2570000,1908000
31622,4215000,5920000,5712000,5541000,27100000,8098000,3989000
100000,13267000,21553000,14519000,13608000,105729000,35678000,11295000
316227,46845000,56203000,46914000,46091000,270578000,121704000,31913000
1000000,192618000,289905000,179650000,183902000,935235000,430174000,102887000
3162277,607606000,807612000,681700000,678524000,1845155000,1485786000,324273000
10000000,1924534000,2061742000,1881461000,1935106000,5410868000,4466636000,1029649000
