Dataset, Cores, Max_Mem_Util (MB), Max_CPU_Util (%), Runtime (s)
concrete, 1, 187.7, _, 22.57
concrete, 1, 166.5, _, 22.10
concrete, 1, 175.0, _, 22.72
concrete, 1, 189.7, _, 21.64
concrete, 1, 214.3, _, 21.49
concrete, 2, 183.9, _, 19.74
concrete, 2, 182.5, _, 19.75
concrete, 2, 183.9, _, 19.80
concrete, 2, 162.0, _, 20.71
concrete, 2, 181.6, _, 20.12
concrete, 4, 187.0, _, 18.36
concrete, 4, 166.2, _, 16.06
concrete, 4, 187.8, _, 20.99
concrete, 4, 188.3, _, 17.39
concrete, 4, 187.1, _, 18.21
concrete, 8, 194.6, _, 14.62
concrete, 8, 217.4, _, 14.84
concrete, 8, 217.8, _, 14.25
concrete, 8, 193.8, _, 13.84
concrete, 8, 195.1, _, 17.42
powerplant, 1, 309.6, 8.0, 150.02
powerplant, 1, 308.2, 7.2, 141.91
powerplant, 1, 313.8, 10.3, 149.45
powerplant, 2, 295.9, 25.1, 88.52
powerplant, 2, 284.3, 7.3, 89.78
powerplant, 2, 283.2, 11.4, 96.30
powerplant, 4, 331.8, 13.1, 69.36
powerplant, 4, 343.4, 7.2, 58.32
powerplant, 4, 283.9, 7.5, 59.12
powerplant, 8, 273.6, 10.2, 50.17
powerplant, 8, 272.5, 8.6, 54.99
powerplant, 8, 274.2, 8.4, 48.28
