CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
525,0,0,186,0,1125,613,3,10.38
143,169,143,191,8,967,643,28,23.52
289,134.7,0,185.7,0,1075,795.3,28,36.96
304,76,0,228,0,932,670,365,39.05
157,236,0,192,0,935.4,781.2,90,74.19
350,0,0,203,0,1055,775,7,37.43
135.7,203.5,0,185.7,0,1076.2,759.3,28,35.1
332.5,142.5,0,228,0,932,594,28,45.94
322,0,0,203,0,974,800,180,42.14
133,200,0,192,0,927.4,839.2,3,6.94
500,0,0,200,0,1125,613,270,65.2
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,23.51
239.6,24,78.3,162.6,2.5,967,712.6,7,23.52
331,0,0,192,0,978,825,28,24.48
342,38,0,228,0,932,670,3,13.18
540,0,0,182,0,1100,820,90,33.8
252,0,0,186,0,1111,784,28,26.86
393,0,0,192,0,940.6,785.6,90,38.7
516,0,0,162,7,932,617,28,26.32
182,45.2,122,170.2,8.2,1059.4,780.7,100,45.3
393,0,0,192,0,940.6,785.6,90,52.3
310,0,0,192,0,1012,830,90,25.37
212,0,100.4,159,8.7,1007.3,903.6,3,18.03
238.2,0,0,185.7,0,1118.8,789.3,28,19.01
540,0,0,173,0,1125,594,7,18.13
362.6,189,0,164.9,11.6,944.7,755.8,3,17.84
148,175,0,171,2,1000,828,7,17.96
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,13.62
213.8,98.1,24.5,181.7,6.9,1065.8,785.6,100,39.23
203.5,166.8,0,203.5,0,977.6,694.1,7,28.99
133.1,200.9,0,203.5,0,965.4,692.6,7,15.09
425,0,94.1,191.8,5.5,938.2,822.2,3,17.54
318.8,212.5,0,155.7,14.3,852.1,880.4,28,50.66
252.3,151.2,0,185.7,0,1134.3,703.7,3,8.37
350,0,0,192,0,968,845,28,27.23
160,250,0,168,12,1049,688,28,40.57
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,24.4
425,106.3,0,153.5,16.5,852.1,887.1,91,57.22
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,15.87
307,0,0,193,0,968,812,28,27.42
425,158.5,0,153.5,16.5,852.1,887.1,28,55.51
349,0,0,192,0,1056,809,3,25.12
531.3,0,0,141.8,28.2,852.1,893.7,56,38.11
424,22,132,168,8.9,822,750,56,52.52
326,0,141,199,11,801,792,28,16.88
156,183,0,193,2,1047,697,28,24.24
362.6,0,0,164.9,11.6,944.7,755.8,91,57.22
