squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
34291,24,1,0,47,35693,2,1,2000,0,1,8,5196,369,0,3,3436795.2
95145,60,0,1,60,34773,1,4,2000,0,1,729,4496,277,0,6,9519958
92661,45,1,1,62,45457,4,8,2020,1,1,7473,8953,245,1,9,9276448.1
97184,99,0,0,59,15113,1,1,2000,0,1,6424,8522,256,1,9,9725732.2
61752,100,0,0,57,64245,8,4,2018,1,0,7151,2786,863,0,7,6181908.8
30300,36,0,0,35,19069,8,4,1998,1,0,8181,1826,589,0,0,3033117.8
19341,95,1,0,37,23939,9,6,2017,0,0,7173,9233,101,0,3,1944096.7
58110,3,1,0,1,67658,8,4,2003,1,0,3164,3389,499,1,5,5814953.3
20537,84,0,1,44,9560,3,10,1994,0,0,5026,7669,191,0,9,2056267.4
89396,35,1,1,96,33928,6,7,1993,0,0,7936,2956,414,0,1,8949480.3
54369,22,0,1,60,54900,3,7,2018,0,1,5784,6333,469,0,6,5449838.8
6492,86,0,0,55,89581,4,6,2018,0,0,871,829,414,0,8,652565.8
75124,49,0,0,25,32634,4,2,2009,0,0,2566,5625,325,0,2,7513990.9
4596,41,0,0,95,46030,4,5,2014,0,0,4482,7889,269,0,7,465858.4
66391,84,0,1,68,54971,8,10,2014,1,1,4973,1227,661,0,2,6650282.4
31786,81,0,1,89,4236,10,5,2000,0,0,4910,7143,435,1,4,3184469
41759,26,0,1,45,80383,1,8,2011,0,0,874,7226,576,0,3,4185921.1
202,80,0,1,69,11215,4,8,1996,0,1,8776,879,975,1,6,28295.6
36428,76,1,0,51,72385,3,7,2018,1,1,8751,6606,404,0,8,3649020.8
54473,13,1,0,80,48912,3,6,2015,0,0,9819,4766,738,0,9,5452279.5
29271,46,0,0,12,79661,8,1,2000,1,1,4343,3735,414,0,3,2938810.1
73212,86,1,0,43,77004,8,3,2003,0,0,4118,9679,137,0,8,7326285.3
40812,12,0,1,52,58065,8,8,2018,1,0,5153,9172,127,1,4,4088680.8
46903,78,0,0,38,97998,1,10,2018,0,1,9629,7898,470,1,5,4693749.8
92151,37,1,0,79,6837,6,8,2014,1,0,2800,9063,655,1,1,9228543.4
74409,74,1,1,50,84602,6,8,2004,0,0,1830,9458,977,0,6,7452174.4
85795,79,0,0,59,54730,1,2,2019,0,1,8138,5435,278,0,5,8585311.9
93351,26,1,0,33,90465,5,8,1994,0,1,6293,998,186,1,0,9338401.4
37781,99,1,0,79,93052,6,7,2000,1,1,1383,5317,982,0,4,3781636
60250,15,0,1,70,49495,5,8,2019,0,1,96,7038,209,1,1,6031090.9
47061,85,0,1,66,78155,8,8,2018,1,1,4010,7554,127,0,8,4713648.8
39132,99,0,1,86,41445,2,4,2008,0,0,7951,8751,138,0,10,3920808.8
43252,6,0,0,79,42438,3,1,2020,0,0,7932,331,335,0,4,4326741
95273,19,1,1,39,22419,4,9,1994,0,0,2526,1221,350,1,8,9537187.4
202,84,0,1,80,40312,7,7,1996,1,1,3648,8794,106,1,8,28295.6
11987,28,1,0,38,34837,8,5,2018,0,1,8115,5573,846,0,7,1203183.8
83377,30,0,0,55,61747,9,6,2003,1,1,473,6469,533,1,8,8342685.3
36268,98,1,1,37,86710,6,10,1993,1,1,773,867,313,1,6,3631024.3
63693,32,0,0,16,12152,4,5,2005,0,0,7470,7360,546,1,10,6375077.5
6363,96,1,0,49,12735,10,2,2003,1,0,1273,1373,127,0,6,643101.3
94951,8,0,1,35,5308,4,8,2014,1,1,7159,4331,396,0,6,9498811.4
37853,34,0,1,75,34795,6,8,2019,0,0,4876,6597,332,1,5,3792902.9
35585,80,0,0,17,35661,2,9,2008,1,1,8583,3861,693,0,4,3561895.8
51827,76,0,1,55,69500,10,3,2007,0,1,7058,9691,731,0,6,5192441.7
75177,49,0,0,40,73565,7,10,2016,1,1,8798,3233,108,0,3,7519416.1
13312,35,0,1,70,51336,3,1,2005,0,0,9173,7842,707,0,6,1343890.5
196,86,1,1,8,68109,2,7,2014,0,0,3249,6651,876,0,10,23818.4
29444,26,0,0,36,13252,8,7,2008,0,1,8178,898,494,1,3,2947292.8
57801,78,1,0,26,77899,5,7,2019,1,1,4303,7384,523,1,1,5787838.9
42674,26,0,1,54,77146,1,3,2014,1,0,7836,286,181,0,8,4269275.4
33974,35,1,0,17,75041,2,9,1996,0,0,438,9969,962,1,7,3403907.6
46899,26,1,1,40,61968,4,9,1996,1,0,8785,2111,513,0,4,4698499.6
75898,98,0,0,63,73961,3,4,2000,1,1,6697,7699,127,0,8,7592058
42904,20,0,0,62,84310,2,5,2005,1,1,8801,9579,768,0,2,4302680.5
23210,4,0,1,85,75726,10,6,2014,0,0,4173,9902,802,1,4,2321968.4
1008,6,1,0,26,60193,2,8,2005,0,1,7330,3082,476,0,6,102749.5
24937,73,0,1,14,65569,5,8,2009,1,0,749,2441,474,0,8,2498730.9
77100,48,1,0,83,36356,4,8,2004,1,0,485,906,309,0,8,7719293.4
10082,2,0,1,35,25563,1,2,2008,1,1,3658,6288,543,0,1,1016018.8
78977,84,1,0,48,92517,4,3,2004,0,0,7043,2626,928,1,8,7906006.4
81582,58,0,1,35,89634,9,1,2009,0,0,3775,949,942,0,2,8166678.9
8028,42,0,0,35,22030,2,4,1994,0,0,3714,1459,607,1,7,804141.4
51036,59,0,0,100,98833,5,9,1998,1,1,5990,4930,527,0,4,5105099.8
211,4,1,0,41,38322,6,1,2009,0,1,7253,9238,248,0,9,24058.9
86383,99,1,0,7,35595,9,8,2000,1,0,4136,9057,857,1,7,8648031
26853,39,0,0,56,39642,7,8,2005,0,0,4749,3969,930,0,7,2689625.5
