percent_training_data,DecisionTreeRegressor~Root Mean Squared Error~train,DecisionTreeRegressor~Root Mean Squared Error~test,DecisionTreeRegressor~Explained Variance~train,DecisionTreeRegressor~Explained Variance~test,DecisionTreeRegressor~Max Error~train,DecisionTreeRegressor~Max Error~test,DecisionTreeRegressor~Mean Absolute Error~train,DecisionTreeRegressor~Mean Absolute Error~test,DecisionTreeRegressor~Mean Squared Error~train,DecisionTreeRegressor~Mean Squared Error~test,DecisionTreeRegressor~Median Absolute Error~train,DecisionTreeRegressor~Median Absolute Error~test,DecisionTreeRegressor~R-Squared~train,DecisionTreeRegressor~R-Squared~test,DecisionTreeRegressor~Mean Poisson Deviance~train,DecisionTreeRegressor~Mean Poisson Deviance~test,DecisionTreeRegressor~Mean Gamma Deviance~train,DecisionTreeRegressor~Mean Gamma Deviance~test,DecisionTreeRegressor~Mean Absolute Percentage Error~train,DecisionTreeRegressor~Mean Absolute Percentage Error~test,DecisionTreeRegressor~D-Squared Absolute Error Score~train,DecisionTreeRegressor~D-Squared Absolute Error Score~test,DecisionTreeRegressor~D-Squared Pinball Score~train,DecisionTreeRegressor~D-Squared Pinball Score~test,DecisionTreeRegressor~D-Squared Tweedie Score~train,DecisionTreeRegressor~D-Squared Tweedie Score~test,LassoLars~Root Mean Squared Error~train,LassoLars~Root Mean Squared Error~test,LassoLars~Explained Variance~train,LassoLars~Explained Variance~test,LassoLars~Max Error~train,LassoLars~Max Error~test,LassoLars~Mean Absolute Error~train,LassoLars~Mean Absolute Error~test,LassoLars~Mean Squared Error~train,LassoLars~Mean Squared Error~test,LassoLars~Median Absolute Error~train,LassoLars~Median Absolute Error~test,LassoLars~R-Squared~train,LassoLars~R-Squared~test,LassoLars~Mean Poisson Deviance~train,LassoLars~Mean Poisson Deviance~test,LassoLars~Mean Gamma Deviance~train,LassoLars~Mean Gamma Deviance~test,LassoLars~Mean Absolute Percentage Error~train,LassoLars~Mean Absolute Percentage Error~test,LassoLars~D-Squared Absolute Error Score~train,LassoLars~D-Squared Absolute Error Score~test,LassoLars~D-Squared Pinball Score~train,LassoLars~D-Squared Pinball Score~test,LassoLars~D-Squared Tweedie Score~train,LassoLars~D-Squared Tweedie Score~test,LinearSVR~Root Mean Squared Error~train,LinearSVR~Root Mean Squared Error~test,LinearSVR~Explained Variance~train,LinearSVR~Explained Variance~test,LinearSVR~Max Error~train,LinearSVR~Max Error~test,LinearSVR~Mean Absolute Error~train,LinearSVR~Mean Absolute Error~test,LinearSVR~Mean Squared Error~train,LinearSVR~Mean Squared Error~test,LinearSVR~Median Absolute Error~train,LinearSVR~Median Absolute Error~test,LinearSVR~R-Squared~train,LinearSVR~R-Squared~test,LinearSVR~Mean Poisson Deviance~train,LinearSVR~Mean Poisson Deviance~test,LinearSVR~Mean Gamma Deviance~train,LinearSVR~Mean Gamma Deviance~test,LinearSVR~Mean Absolute Percentage Error~train,LinearSVR~Mean Absolute Percentage Error~test,LinearSVR~D-Squared Absolute Error Score~train,LinearSVR~D-Squared Absolute Error Score~test,LinearSVR~D-Squared Pinball Score~train,LinearSVR~D-Squared Pinball Score~test,LinearSVR~D-Squared Tweedie Score~train,LinearSVR~D-Squared Tweedie Score~test
10,0.0,5.551965403916372,1.0,0.8934877629133218,0.0,27.260000000000005,0.0,4.14098162911677,0.0,30.859553746476173,0.0,3.130909090909088,1.0,0.8932393426199493,0.0,0.06791567939559362,0.0,0.00014966950979425567,0.0,0.009120150528932558,1.0,0.7170843815002741,1.0,0.7170843815002741,1.0,0.8932393426199493,4.855740142213614,5.0981032157571455,0.9149135475672959,0.910333194469412,18.130394087025024,25.656394107177743,3.9099202829443227,4.080464036031042,23.580078008394285,26.011060289673654,3.4772151298668685,3.5862512032167975,0.9149135475672959,0.9100320146705628,0.051963032828532034,0.057120015181620194,0.00011466355766696478,0.00012561088040411076,0.008613552164454714,0.008984589451214841,0.7287736509017705,0.7212192545502785,0.7287736509017705,0.7212192545502785,0.9149135475672959,0.9100320146705628,6.099773655734555,6.139457149799049,0.9290036450101117,0.9270029260146572,17.389773600354204,24.378244709868078,5.005319041209822,4.8954068154043995,37.21227922257161,37.73441935911007,4.4668374359503105,4.182159312212519,0.8657215616178291,0.8695065945110948,0.08243234883535956,0.08329096113576875,0.00018290803339862565,0.00018416863205617795,0.010963545864718751,0.010708714568914278,0.6527812915313084,0.6656042951727467,0.6527812915313084,0.6656042951727467,0.8657215616178291,0.8695065945110948
20,0.0,5.39375398260451,1.0,0.8995093815269424,0.0,27.533636363636365,0.0,3.967587965990844,0.0,29.14094104714975,0.0,2.9172727272727355,1.0,0.8991423614188502,0.0,0.06423184205480802,0.0,0.00014176090857892366,0.0,0.00874508722940993,1.0,0.7288914692909689,1.0,0.7288914692909689,1.0,0.8991423614188502,4.868829143532554,5.056490833501637,0.9144695874787893,0.9117255855243349,25.578141442380456,25.83722323636791,3.88237176440469,4.047437815539808,23.70667503382778,25.59057092974599,3.359338205341084,3.5568997695430524,0.9144695874787893,0.9114844508091966,0.05225558369682699,0.05621350134915519,0.00011533643182889726,0.0001236549053794109,0.008557276654430285,0.008912424627980774,0.7303336405275535,0.7234708438066318,0.7303336405275535,0.7234708438066318,0.9144695874787893,0.9114844508091966,4.851078213434714,4.953754719217118,0.9294787253309683,0.9278380132416539,23.57838937557178,25.924686340363756,3.796292226735321,3.871837925616209,23.53553606427835,24.564496741026996,3.1770960726381516,3.2161841810259193,0.9150866410885101,0.9150503845183661,0.052183988479497574,0.054220426623484565,0.00011588432426138821,0.00011987823444863658,0.008348896868619806,0.008501220686993355,0.7363123344672001,0.7354793258851888,0.7363123344672001,0.7354793258851888,0.9150866410885101,0.9150503845183661
30,0.0,5.148144876791246,1.0,0.9085726661111294,0.0,31.320000000000004,0.0,3.710519795448908,0.0,26.53547697971403,0.0,2.6640909090909046,1.0,0.9082922613569683,0.0,0.05843097518923582,0.0,0.00012883372492706054,0.0,0.008176711006946944,1.0,0.7465687444882245,1.0,0.7465687444882245,1.0,0.9082922613569683,4.897254032946707,5.035064377610865,0.9151404703959846,0.9124674618395858,26.348560425574064,25.899863181609046,3.9351916092168238,4.025353313950756,23.98352727771892,25.373538203562305,3.4697851978182332,3.540214498226672,0.9151404703959849,0.9122307986310882,0.05280547487398755,0.055757375816913486,0.00011642207754119519,0.00012269729669078005,0.008667713534738311,0.008864727710213323,0.7287960848706941,0.7249758870222759,0.7287960848706941,0.7249758870222759,0.9151404703959849,0.9122307986310882,4.658073463023242,4.768622289948589,0.9303113654020513,0.9279668240144655,25.63338621720293,26.212231417733083,3.677914660708083,3.741459891288251,21.698276893362806,22.773626874919643,3.0877428984216135,3.110255674514853,0.9232273533367383,0.9212548562121632,0.04804559340361537,0.05025424599471698,0.00010655064785116833,0.00011107522047294114,0.008092059834854453,0.00822487479651567,0.7465269429665473,0.7443920219465234,0.7465269429665473,0.7443920219465234,0.9232273533367383,0.9212548562121632
40,0.0,5.105216487056723,1.0,0.909897064774317,0.0,29.233636363636375,0.0,3.659995047848869,0.0,26.116848964633938,0.0,2.5977272727272664,1.0,0.9097788683299419,0.0,0.057399484100805157,0.0,0.0001263208807313603,0.0,0.008064360135771245,1.0,0.750018029460503,1.0,0.750018029460503,1.0,0.9097788683299419,4.9387374625475475,5.035792318264194,0.9154137263685581,0.9124475528938593,26.461423646895184,26.02756836284842,3.964243074664768,4.023609592599754,24.3914793652438,25.381575318847094,3.491826745363888,3.525877459035999,0.9154137263685581,0.9122037712451555,0.0537120769175232,0.055786484537168016,0.00011844306302046778,0.00012278676926556948,0.008734698423001883,0.008861748635191985,0.7295289809637865,0.7250947160105088,0.7295289809637865,0.7250947160105088,0.9154137263685581,0.9122037712451555,4.601651363657339,4.674413321043627,0.9303863120491698,0.9278059357687549,26.08178398560252,26.51336936277966,3.663912304875177,3.6777897640529713,21.176031092368888,21.879160475764397,3.1500042384335787,3.0891405061066037,0.9265631455210539,0.9243520587589383,0.04687874969061975,0.04829602526646001,0.00010393790585909815,0.00010677868583994981,0.00807086745621994,0.008093964713611405,0.7500192479397598,0.7487382996224548,0.7500192479397598,0.7487382996224548,0.9265631455210539,0.9243520587589383
50,0.0,4.979973949653085,1.0,0.9142496358570533,0.0,28.84545454545454,0.0,3.549793308300069,0.0,24.842814405272023,0.0,2.4968181818181847,1.0,0.9140408915431909,0.0,0.05461594177481572,0.0,0.00012022873240744273,0.0,0.007821916784198248,1.0,0.7574317242258495,1.0,0.7574317242258495,1.0,0.9140408915431909,4.940901425804713,5.0443569218355355,0.9151718663412006,0.9121218954352662,26.411588752726058,25.98655691635304,3.977298354900283,4.030028787457808,24.412737130463913,25.46741271543851,3.495170413783448,3.537050645086636,0.9151718663412006,0.9119052273253917,0.05371598799565325,0.05596920145610976,0.00011835876097318734,0.00012317627869576873,0.008758920629026352,0.008874611298176972,0.7287057458965761,0.7246561870719973,0.7287057458965761,0.7246561870719973,0.9151718663412006,0.9119052273253917,4.564659086210194,4.6496144348163355,0.9303990922339661,0.9277607366397246,26.072925095004408,26.602891989607937,3.6398008261029586,3.6583737983449796,20.836376797964892,21.647499389508656,3.107934209151466,3.068294684777594,0.9275983868962111,0.9251498440543817,0.04608766739975261,0.04780449830337796,0.00010209758964647422,0.00010573404505342176,0.008015641111795025,0.008055565453084156,0.7517266370023074,0.7500642670140636,0.7517266370023074,0.7500642670140636,0.9275983868962111,0.9251498440543817
60,2.770115540168518e-16,4.785580416178498,1.0,0.9205224166943657,1.0335167065601458e-14,28.069999999999997,7.424688983909092e-18,3.377148047706036,4.220447058235716e-31,22.964382481055903,0.0,2.344090909090919,1.0,0.9204311326263298,1.4849377967818184e-17,0.05043935390616042,0.0,0.0001109372493495736,1.5626647409991148e-20,0.007442380855392716,1.0,0.7691961732322263,1.0,0.7691961732322263,1.0,0.9204311326263298,4.915383397253185,5.046857687952882,0.9159264575637672,0.9120190257220101,26.35210796770198,25.95052421793788,3.953966267157817,4.031780852473114,24.161130116244053,25.491866404506677,3.470398131225272,3.541542345294705,0.9159264575637672,0.9118201332782069,0.05315501118120191,0.05601796691310594,0.0001171067869562629,0.00012327317188090745,0.008707852882315847,0.008877289165070636,0.7302033191323116,0.7245370164679655,0.7302033191323116,0.7245370164679655,0.9159264575637672,0.9118201332782069,4.517706898843837,4.6286563419227775,0.9310976994656638,0.9279144919768189,26.072168293738834,26.583515546919465,3.606866176725221,3.6482447999890137,20.410024928423223,21.454090095472456,3.078234926805824,3.0808831928735545,0.9289784803528204,0.9258190002923626,0.04514559410546221,0.04736329850221572,0.00010001295006564137,0.00010472608051628522,0.007945555668567611,0.008034312487736112,0.7538875910776501,0.7507543832682704,0.7538875910776501,0.7507543832682704,0.9289784803528204,0.9258190002923626
70,1.2823143228901563e-16,4.647108407762764,1.0,0.9250507235195292,5.167583532800729e-15,30.91181818181818,3.1820095645324683e-18,3.242602954000436,1.808763024958164e-31,21.631084341824348,0.0,2.2595454545454534,1.0,0.9249959792422825,6.3640191290649366e-18,0.04753246428336339,0.0,0.00010458397366037154,6.707440060144326e-21,0.007147835649078973,1.0,0.7783811551502828,1.0,0.7783811551502828,1.0,0.9249959792422825,4.963333945806539,5.0333731796547925,0.9144242959168793,0.9124734569305801,29.922018338745886,25.94476624330173,3.9836989289320117,4.019708657155626,24.634824280926797,25.356499315944596,3.4949546235862177,3.5314323772796468,0.9144242959168793,0.9122881999061366,0.054186288868018066,0.05572593509436157,0.00011935478465760556,0.0001226428243962926,0.008773870164936087,0.008850786982933357,0.727968946469963,0.7253623097301669,0.727968946469963,0.7253623097301669,0.9144242959168793,0.9122881999061366,4.571316669803768,4.633798665685129,0.9294204787283502,0.9277554182667532,30.65248696321621,26.684540219542317,3.628163532044215,3.6461911507567835,20.897140045709133,21.501678776697833,3.0862313358641855,3.078718790779597,0.9274081814963094,0.9256523152199718,0.046226520391140946,0.047497993196369576,0.00010241501016296484,0.00010508922729507898,0.007994195933802538,0.008032167663315411,0.7522469896729607,0.750896847634974,0.7522469896729607,0.750896847634974,0.9274081814963094,0.9256523152199718
80,0.0,4.669512285127254,1.0,0.9245010810643612,0.0,31.58181818181818,0.0,3.2299437616051354,0.0,21.846685768964765,0.0,2.260000000000001,1.0,0.9243935404280582,0.0,0.047974313581139946,0.0,0.00010548495605547377,0.0,0.00711509899520919,1.0,0.7792923870406472,1.0,0.7792923870406472,1.0,0.9243935404280582,4.986379312380632,5.017595208797201,0.913954546724444,0.9130182108248553,29.972856290207712,25.985250340719645,4.002591317696045,4.00660189752837,24.864081859094064,25.197505405327504,3.520540118776748,3.5126259850219412,0.913954546724444,0.9128382572841627,0.054663841665101146,0.055385467102699384,0.00012034987633803192,0.00012191285935687256,0.008812195994813095,0.008823322318653614,0.7269367554246717,0.7262572512583317,0.7269367554246717,0.7262572512583317,0.913954546724444,0.9128382572841627,4.5886798889991605,4.6191476544004715,0.9287365443799416,0.9276020245264384,30.970695181618353,26.848189447341383,3.6353975632307236,3.635169047459472,21.05622993496717,21.365782778553537,3.0905457751270444,3.0825782364929326,0.9271321377286175,0.9261228097011883,0.04657237155996756,0.047211513635433106,0.00010316951608410372,0.00010448359969852601,0.008011166146338618,0.008011608793622822,0.7519872719108228,0.7516514961494924,0.7519872719108228,0.7516514961494924,0.9271321377286175,0.9261228097011883
90,0.0,4.583660772398004,1.0,0.9273739973948506,0.0,32.82181818181817,0.0,3.1601646407012325,0.0,21.055194077527947,0.0,2.176363636363639,1.0,0.9272078996269247,0.0,0.04629223969037937,0.0,0.00010191158211816217,0.0,0.006969005968778686,1.0,0.7841637840149929,1.0,0.7841637840149929,1.0,0.9272078996269247,4.98087565726615,5.016672270303913,0.9140342021773145,0.9130492694920121,29.98066497034242,25.993961729505433,4.003754457589756,4.005690499181728,24.809235609115625,25.188009962576032,3.508100353857853,3.5133890605928286,0.9140342021773145,0.9128735744077456,0.054558379806934,0.05536543718326945,0.0001201503463182685,0.00012187096963280146,0.008816761196233407,0.008820800084003332,0.7264417157906944,0.7263212833281799,0.7264417157906944,0.7263212833281799,0.9140342021773145,0.9128735744077456,4.569388986928886,4.618274422409628,0.9289627401286265,0.927590206345723,30.941914820897342,26.87245269080699,3.632366116902176,3.6344204282836374,20.87948337197956,21.357911590283894,3.093980953936378,3.0785402998576656,0.9276512693993599,0.9261498484770955,0.046183167763705416,0.04720333591143506,0.00010230926902976487,0.00010448554424706537,0.008007173068906786,0.008010903832736924,0.7518167928003158,0.7516969096348022,0.7518167928003158,0.7516969096348022,0.9276512693993599,0.9261498484770955
100,0.0,4.54040729219663,1.0,0.9286199618044457,0.0,28.177272727272722,0.0,3.1374638276839346,0.0,20.688089746603968,0.0,2.1763636363636336,1.0,0.9285081283709872,0.0,0.045516269834026096,0.0,0.00010027313663908318,0.0,0.006916883663944098,1.0,0.7857060343169842,1.0,0.7857060343169842,1.0,0.9285081283709872,5.025444379627863,5.02601583812179,0.9127371688132775,0.9127284998975586,42.334948956273955,25.978887544574523,4.010698425210307,4.0125316092156575,25.25533332290079,25.281230090741033,3.5050197268584964,3.5241696942513787,0.9127371688132775,0.9125495960514551,0.055512181325817096,0.0555692682579672,0.00012219121348718486,0.00012231725279784742,0.008831811793326799,0.008835811315042673,0.7264766920698847,0.7258537835279969,0.7264766920698847,0.7258537835279969,0.9127371688132775,0.9125495960514551,4.6155699805896,4.614321829284753,0.9275372736762005,0.9276111614960897,43.223156850113476,26.82418570713511,3.627902455704764,3.6325309922407922,21.303802001256507,21.32125556257579,3.0719500636880173,3.076510233218846,0.9263908898918007,0.9262766633836764,0.04708376576082684,0.0471187978365472,0.00010422072355036138,0.00010429039776679028,0.007997494159919615,0.008007111884155914,0.7525828707857656,0.7518252835961566,0.7525828707857656,0.7518252835961566,0.9263908898918007,0.9262766633836764
