,Explained Variance,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,Mean Squared Log Error,Median Absolute Error,R-Squared,Mean Absolute Percentage Error,D-Squared Absolute Error Score,D-Squared Pinball Score,Raw Mean Absolute Percentage Error,Error Ensemble
BaggingRegressor~p279,1.84982667978372,-0.48358157000157387,-0.27063316597154313,-0.3672473968068756,0.014021894444726688,-0.5428178564892381,0.13876369836685812,0.1367934763119984,-0.0,-0.0,0.09917682926829274,-0.06568059881881623
BaggingRegressor~p595,0.658430264421432,0.37870643693198697,0.027720474647278746,0.4170120572442463,0.45811180735130363,0.03406799153980102,0.1214061324218116,0.8918193591917563,-0.0,-0.0,0.1833749999999998,0.45522083626987153
BaggingRegressor~p946,-0.3193214651947023,-0.5074419950714324,-0.32620017309714183,-0.6198947637298378,-0.3284032018922153,-0.3965523107684892,-0.13339008614608788,-0.4130403827720205,-0.0,-0.0,0.03786104368932032,-0.49238139196699254
BaggingRegressor~p227,0.8582782443777343,1.9306189245431322,1.3232761459561277,2.112313740633351,0.6647408230578499,1.4101905715429361,0.13359964076494227,1.0747761285727964,-0.0,-0.0,0.20377777777777784,1.5672958541414836
BaggingRegressor~p580,0.011110580818756826,-0.6340857896729803,-0.31230937032962747,-0.5475585724358735,-0.2654318718984716,-0.7719823528125865,-0.09874731725994096,-0.3566945668185759,-0.0,-0.0,0.0441445562671547,-0.5093055941687306
BaggingRegressor~p290,-0.3662547360404015,0.30126077957579206,-0.037979777410870795,0.28032321600891785,0.14349160971212044,0.3817893432454957,-0.14193979368367432,0.5213833846687385,-0.0,-0.0,0.14206511627906976,0.22165119498447272
BaggingRegressor~p895,-0.15617064384289406,-0.21758035843479634,-0.20085824838396849,-0.1311858681686336,-0.29933173954770426,-0.2770869737357013,-0.11310182503975047,-0.41104840769690104,-0.0,-0.0,0.03808318264014477,-0.2903685768682441
BaggingRegressor~p35,-0.2909368547585751,-0.69228194837995,-0.3415669907971979,-0.7121573589438769,-0.3474681440714335,-0.6538797382554611,-0.13587741040399803,-0.557609578075623,-0.0,-0.0,0.021739130434782594,-0.6138697520662771
BaggingRegressor~p271,-0.23738006690027127,-0.5253037391668791,-0.3114613132473322,-0.5433987972974097,-0.3137080168163225,-0.4819495859097955,-0.13100440523583437,-0.4313983849277795,-0.0,-0.0,0.03581381559442625,-0.48702627346880717
BaggingRegressor~p948,0.20476381801959476,-0.5198422535036077,-0.3122334658317233,-0.5471851826019969,-0.288662962206842,-0.4360712625626045,-0.098698172641294,-0.335400074271661,-0.0,-0.0,0.04651925276401075,-0.4111326628709096
BaggingRegressor~p679,-0.3662547360404015,-0.38531959433865376,-0.28380585249307294,-0.4197455213801857,-0.2871520851736266,-0.2766327329104834,-0.14193979368367432,-0.33932265867880307,-0.0,-0.0,0.04608181818181819,-0.39415895829804365
BaggingRegressor~p44,-0.3614899336929542,-0.9490165408295397,-0.3758378826761866,-1.0606769678574564,-0.3669014642242724,-0.8587423504295536,-0.14142461102644793,-0.6960996962457132,-0.0,-0.0,0.0062951372171400595,-0.7959366920200454
BaggingRegressor~p210,-0.022321336924640407,-0.027323685738939545,-0.1902204547853864,-0.0996198714317404,-0.031119021281496802,0.09470914170663391,-0.01970044439854757,0.28368542561086235,-0.0,-0.0,0.11555776892430276,0.0009420721679567313
BaggingRegressor~p559,-0.3662547360404015,-0.6058382695621367,-0.33013839659520466,-0.6420945368084152,-0.3396266617986056,-0.5509941913431929,-0.14193979368367432,-0.5187965147042916,-0.0,-0.0,0.026067444219066947,-0.5666883221696634
BaggingRegressor~p670,-0.3662547360404015,-0.25997402173902806,-0.2453867690052179,-0.27488421570081834,-0.30145342761742233,-0.3231924174955064,-0.14193979368367432,-0.3803200718984797,-0.0,-0.0,0.04150991240202863,-0.35771647462518114
BaggingRegressor~p238,-0.28011530030519044,-0.596303052789382,-0.3391230952231829,-0.6963617546061016,-0.35442978449325724,-0.46536979578928056,-0.135481833332434,-0.564232160451666,-0.0,-0.0,0.021000600360216032,-0.5617185650084188
BaggingRegressor~p897,-0.3662547360404015,-0.3416724753084266,-0.2334277681045856,-0.23419782004645506,-0.2996804886849276,-0.413132100889009,-0.14193979368367432,-0.39802249191117045,-0.0,-0.0,0.039535792817004686,-0.3816121430724549
BaggingRegressor~p482,-0.3662547360404015,-0.5204562975884265,-0.33184076731630874,-0.6519670584275395,-0.35540947677013945,-0.3928426773625277,-0.14193979368367432,-0.5578661763859688,-0.0,-0.0,0.021710515378221135,-0.5349248583635463
BaggingRegressor~p441,-0.3662547360404015,-0.7626097678635252,-0.3535133547922919,-0.7981209083886411,-0.3407107015296186,-0.8071860167671133,-0.14193979368367432,-0.5292250854165254,-0.0,-0.0,0.024904481998530494,-0.6725220730637774
BaggingRegressor~p153,0.15894597868358024,5.421090224959332,6.40582438318994,5.4168398050396345,0.8694373918348536,5.067283455386873,0.13261460837637362,0.8677268682311805,-0.0,-0.0,0.18068827930174564,4.170875645505584
BaggingRegressor~p499,-0.3662547360404015,0.10120029245160336,0.005331651937899906,0.37176460670858874,-0.24225907336275815,0.049057938772050634,-0.14193979368367432,-0.3316298736896648,-0.0,-0.0,0.04693969396939689,-0.056135509933806636
BaggingRegressor~p305,0.004762277298384148,0.38506324811382775,0.0650862094831084,0.4898379079542213,-0.11109296342010366,0.1267331198846284,-0.07005516995337348,-0.05863160328513935,-0.0,-0.0,0.07738362377655769,0.15085103423439494
BaggingRegressor~p461,-0.34530304646673604,-0.611523586605049,-0.3303917466157315,-0.643552770677172,-0.35286403349855594,-0.5453161810279451,-0.13997198230938368,-0.5828638852235388,-0.0,-0.0,0.018922847558702927,-0.5776208640566399
BaggingRegressor~p217,-0.3662547360404015,-0.40891142175294176,-0.30780910910556514,-0.5257759292289118,-0.32730571257838115,-0.2963922088075427,-0.14193979368367432,-0.4111617825963623,-0.0,-0.0,0.03807053941908707,-0.4429778999058975
BaggingRegressor~p122,-0.3108717917328561,-0.2675842886468597,-0.21571640017905033,-0.17689749830463936,-0.3337846896372366,-0.47036644486668416,-0.13533154899808125,-0.513463350250157,-0.0,-0.0,0.02666218236173405,-0.38434743849114866
