,Explained Variance,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,Mean Squared Log Error,Median Absolute Error,R-Squared,Mean Absolute Percentage Error,D-Squared Absolute Error Score,D-Squared Pinball Score,Raw Mean Absolute Percentage Error,Error Ensemble
BaggingRegressor~p905,-0.20848454389315707,-0.8267278582586429,-0.4284639313593575,-0.860575524703902,-0.2978475869337799,-0.8148705848190937,-0.15549311926591106,-0.33207582909219435,-0.0,-0.0,0.05081264108352139,-0.657613066110921
BaggingRegressor~p728,-0.07855198665801623,-0.7845364120801145,-0.4170640315584509,-0.7875030838557461,-0.3709181893769991,-0.7691172179021608,-0.1469159901144796,-0.5855515061926885,-0.0,-0.0,0.024155639571518558,-0.6696733825761325
BaggingRegressor~p787,-0.253752424573582,-0.8639338819127926,-0.4349877360141381,-0.9090120479791368,-0.3870254129743148,-0.8447503346423967,-0.1732040574257619,-0.6633520219737467,-0.0,-0.0,0.01597367714208978,-0.7544768536398672
BaggingRegressor~p244,-0.12988758970175077,0.37106606454273716,-0.08152352366807522,0.1955584445264696,0.45481808736876006,0.4517506850344126,0.10554011230527753,0.7449521831664985,-0.0,-0.0,0.16407927747114898,0.36828115910716686
BaggingRegressor~p998,-0.15089955353769122,-0.8363755740697061,-0.4257963702811687,-0.8423524980745776,-0.374656161869522,-0.8965730257421919,-0.1534860826878231,-0.6086503585986559,-0.0,-0.0,0.021726427622842,-0.7239071493895964
BaggingRegressor~p236,0.6006782092737049,1.051160787243242,0.754156358882531,1.3594113653226292,0.37811801563084396,0.8558276142855028,0.050469892778160545,0.3059102852216033,-0.0,-0.0,0.11790703455132981,0.8765551493365267
BaggingRegressor~p801,-0.2830120282576801,-1.050748742617942,-0.45377793957411605,-1.1195563907387847,-0.39290010533968517,-0.9929819060314461,-0.1774715629263507,-0.7234866086734946,-0.0,-0.0,0.009649568308786178,-0.8688658936452116
BaggingRegressor~p208,-0.14679444446049944,-0.5555762665161063,-0.3507140370685695,-0.4878341567198384,-0.3440916767160988,-0.7714515733571035,-0.15735246196113536,-0.5121182651486366,-0.0,-0.0,0.03187831355718258,-0.5545353522024693
BaggingRegressor~p309,-0.21179929821602062,-0.8487468077413097,-0.43111970456845067,-0.8795650538614886,-0.3597844600859925,-0.909645416289886,-0.1574912868120409,-0.555211203849469,-0.0,-0.0,0.027346405228758218,-0.7299510964740961
BaggingRegressor~p909,-0.19723821224616497,-0.7543930703354966,-0.4203142399827167,-0.8071558846682191,-0.35333116725542457,-0.7088908471645601,-0.14936140261027903,-0.4819942297902979,-0.0,-0.0,0.0350463352990734,-0.6471336106374188
BaggingRegressor~p222,0.414686946860933,-0.2408483890049386,-0.2870924644444595,-0.28260498045201804,-0.24598581176238185,-0.17805841670992173,-0.049127155421214534,-0.16942211692386888,-0.0,-0.0,0.06791826755151938,-0.214924971409986
BaggingRegressor~p537,-0.2830120282576801,-0.3372793857959097,-0.30366042462530096,-0.3317102569049756,-0.33921419267239583,-0.5083697135847324,-0.1774715629263507,-0.4396517849800271,-0.0,-0.0,0.039499317250796466,-0.4328323256779734
BaggingRegressor~p839,-0.11581821848972634,-0.5180009523045934,-0.28810902720499576,-0.28554730317971344,-0.25089121439457246,-0.7373699837148977,-0.145576673039644,-0.3394136437580905,-0.0,-0.0,0.050040953090096915,-0.447581142724827
BaggingRegressor~p961,-0.2830120282576801,-0.21075120857999505,-0.20777120637663704,-0.07517963161525609,-0.2918387521518239,-0.41452862429591897,-0.1774715629263507,-0.3893496093657258,-0.0,-0.0,0.04478939157566291,-0.3155224561598252
BaggingRegressor~p274,-0.2830120282576801,-0.10259523659280145,-0.2617097509036144,-0.21179026710731932,0.1860349702429786,-0.1358065829754058,-0.1774715629263507,0.42388153378711196,-0.0,-0.0,0.1303135888501742,-0.0664951679760226
